pe_memory_kb,noc_rows,noc_cols,grid_size,computation_pes,aggregation_pes,total_used_pes,utilization_pct
1.0,1,2,2,2,0,2,100.0
2.0,1,2,2,2,0,2,100.0
4.0,1,2,2,2,0,2,100.0
8.0,1,2,2,2,0,2,100.0
16.0,1,2,2,2,0,2,100.0
32.0,1,2,2,2,0,2,100.0
64.0,1,2,2,2,0,2,100.0
128.0,1,2,2,2,0,2,100.0
256.0,1,2,2,2,0,2,100.0
512.0,1,2,2,2,0,2,100.0
1024.0,1,2,2,2,0,2,100.0
